platform,search_keyword,product_id,product_name,brand,price,mrp,unit,inventory,merchant_id,rating
Blinkit,milk,206314,Amul Lactose Free Milk,Amul,26,26,250 ml,50,45631,"{'type': 'bar', 'bar': {'value': 4.710000038146973, 'size': 'medium', 'title': {'text': '75,810', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,309894,Nandini Goodlife Toned Milk,Nandini Goodlife,36,36,500 ml,50,45631,"{'type': 'bar', 'bar': {'value': 4.739999771118164, 'size': 'medium', 'title': {'text': '39,013', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,163703,Arokya Full Cream Milk,Arokya,36,36,500 ml,12,45631,"{'type': 'bar', 'bar': {'value': 4.650000095367432, 'size': 'medium', 'title': {'text': '30,509', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,478882,Akshayakalpa Organic Farm Fresh Cow Milk,Akshayakalpa Organic,47,47,500 ml,14,45631,"{'type': 'bar', 'bar': {'value': 4.630000114440918, 'size': 'medium', 'title': {'text': '1,917', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,34778,Amul Moti Toned Milk (90 Days Shelf Life),Amul,30,30,450 ml,16,45631,"{'type': 'bar', 'bar': {'value': 4.5, 'size': 'medium', 'title': {'text': '1.4 lac', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,12872,Amul Gold Full Cream Milk,Amul,34,34,500 ml,22,45631,"{'type': 'bar', 'bar': {'value': 4.670000076293945, 'size': 'medium', 'title': {'text': '14 lac', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,179,Amul Gold Milk,Amul,83,83,1 ltr,38,45631,"{'type': 'bar', 'bar': {'value': 4.699999809265137, 'size': 'medium', 'title': {'text': '90,019', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,485113,Amul Taaza Toned Milk - Pack of 2,Amul,34,34,2 x 200 ml,50,45631,"{'type': 'bar', 'bar': {'value': 4.679999828338623, 'size': 'medium', 'title': {'text': '1.5 lac', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,478884,Akshayakalpa Organic Amrutha Organic Farm Fresh A2 Milk,Akshayakalpa Organic,53,53,500 ml,9,45631,"{'type': 'bar', 'bar': {'value': 4.630000114440918, 'size': 'medium', 'title': {'text': '6,393', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,478885,Akshayakalpa Organic Cow Milk (Pasteurized),Akshayakalpa Organic,45,45,500 ml,8,45631,
Blinkit,milk,177181,Amul Slim 'n' Trim Skimmed Milk (Zero Cholesterol),Amul,85,85,1 ltr,33,45631,"{'type': 'bar', 'bar': {'value': 4.650000095367432, 'size': 'medium', 'title': {'text': '19,419', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,19512,Amul Taaza Toned Milk,Amul,29,29,500 ml,9,45631,"{'type': 'bar', 'bar': {'value': 4.619999885559082, 'size': 'medium', 'title': {'text': '8.8 lac', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,678441,Sids Farm Toned Milk,Sids Farm,36,36,500 ml,5,45631,"{'type': 'bar', 'bar': {'value': 3.7300000190734863, 'size': 'medium', 'title': {'text': '2,962', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,734812,Heritage Nourish+ Toned Milk,Heritage,29,30,500 ml,5,45631,"{'type': 'bar', 'bar': {'value': 4.329999923706055, 'size': 'medium', 'title': {'text': '1,059', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,115774,Nandini Slim Skimmed Milk,Nandini,73,73,1 ltr,26,45631,"{'type': 'bar', 'bar': {'value': 4.699999809265137, 'size': 'medium', 'title': {'text': '2,975', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,720182,Akshayakalpa Organic High Protein Cow Milk,Akshayakalpa Organic,95,100,250 ml,2,45631,"{'type': 'bar', 'bar': {'value': 3.890000104904175, 'size': 'medium', 'title': {'text': '325', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,74690,Nestle a+ Slim Skimmed Milk,Nestle a+,95,99,1 ltr,1,45631,"{'type': 'bar', 'bar': {'value': 4.409999847412109, 'size': 'medium', 'title': {'text': '6,513', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,547189,Amul Calci+ Calcium Rich High Protein Milk,Amul,26,26,250 ml,17,45631,"{'type': 'bar', 'bar': {'value': 4.46999979019165, 'size': 'medium', 'title': {'text': '6,347', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,516948,Milky Mist Toned Milk,Milky Mist,90,90,1 ltr,7,45631,"{'type': 'bar', 'bar': {'value': 4.510000228881836, 'size': 'medium', 'title': {'text': '657', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,516951,Milky Mist UHT Sterilized Lactose Free Toned Milk,Milky Mist,30,35,250 ml,12,45631,"{'type': 'bar', 'bar': {'value': 4.579999923706055, 'size': 'medium', 'title': {'text': '611', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,516949,Milky Mist Double Toned Milk,Milky Mist,80,80,1 ltr,2,45631,"{'type': 'bar', 'bar': {'value': 4.5, 'size': 'medium', 'title': {'text': '428', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,32685,Mother Dairy Toned Milk,Mother Dairy,77,77,1 ltr,4,45631,"{'type': 'bar', 'bar': {'value': 4.570000171661377, 'size': 'medium', 'title': {'text': '9,619', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,617807,Amulspray Ready to Feed Infant Formula,Amulspray,25,25,250 ml,3,45631,"{'type': 'bar', 'bar': {'value': 4.300000190734863, 'size': 'medium', 'title': {'text': '640', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,758963,XLR8 More Than Milk Ultra Filtered Skimmed Milk,XLR8,475,480,6 x 250 ml,2,45631,
Blinkit,milk,793108,Country Delight 25 g High Protein Chocolate Milk,Country Delight,122,129,250 ml,1,45631,
Blinkit,milk,793109,Country Delight 25 g High Protein Vanilla Milk,Country Delight,122,129,250 ml,1,45631,
Blinkit,milk,3471,Yakult Probiotic Drink,Yakult,90,90,5 x 65 ml,4,45631,"{'type': 'bar', 'bar': {'value': 4.75, 'size': 'medium', 'title': {'text': '41,515', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,382243,Yakult Light Probiotic Drink,Yakult,100,100,5 x 65 ml,3,45631,"{'type': 'bar', 'bar': {'value': 4.679999828338623, 'size': 'medium', 'title': {'text': '14,424', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,545748,Heritage A-One Spiced Salted Buttermilk,Heritage,21,25,500 ml,26,45631,"{'type': 'bar', 'bar': {'value': 4.639999866485596, 'size': 'medium', 'title': {'text': '7,008', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,29550,Hommade Coconut Milk,Hommade,81,89,200 ml,17,45631,"{'type': 'bar', 'bar': {'value': 4.670000076293945, 'size': 'medium', 'title': {'text': '20,938', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,735542,Heritage Nourish+ High Protein Paneer,Heritage,135,150,240 g,1,45631,"{'type': 'bar', 'bar': {'value': 4.190000057220459, 'size': 'medium', 'title': {'text': '388', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,518713,Akshayakalpa Organic Spiced Salted Buttermilk,Akshayakalpa Organic,18,18,200 ml,17,45631,"{'type': 'bar', 'bar': {'value': 4.46999979019165, 'size': 'medium', 'title': {'text': '3,535', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,518714,Akshayakalpa Organic Unsalted Buttermilk,Akshayakalpa Organic,18,18,180 ml,8,45631,"{'type': 'bar', 'bar': {'value': 4.5, 'size': 'medium', 'title': {'text': '3,973', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,541786,Nestle Milkmaid Mini Sweetened Liquid Condensed Milk,Nestle Milkmaid,84,84,190 g,19,45631,"{'type': 'bar', 'bar': {'value': 4.730000019073486, 'size': 'medium', 'title': {'text': '22,235', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,647391,Health on Plants Organic Classic Tofu,Health on Plants,140,140,200 g,3,45631,"{'type': 'bar', 'bar': {'value': 4.28000020980835, 'size': 'medium', 'title': {'text': '291', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,26164,Amul Mithai Mate Condensed Milk,Amul Mithai Mate,68,68,200 g,8,45631,"{'type': 'bar', 'bar': {'value': 4.710000038146973, 'size': 'medium', 'title': {'text': '26,145', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,477837,Raw Pressery Plain & Unsweetened Almond Beverage,Raw Pressery,246,289,1 ltr,11,45631,"{'type': 'bar', 'bar': {'value': 4, 'size': 'medium', 'title': {'text': '3,183', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,488040,Urban Platter Unsweetened Coconut Milk,Urban Platter,136,140,250 ml,3,45631,"{'type': 'bar', 'bar': {'value': 4.389999866485596, 'size': 'medium', 'title': {'text': '1,933', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,19135,Amul Kool Cafe Milk 'n' Coffee Flavoured Milk (Can),Amul Kool Cafe,35,35,200 ml,10,45631,"{'type': 'bar', 'bar': {'value': 4.550000190734863, 'size': 'medium', 'title': {'text': '21,444', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,288400,So Good Natural Unsweetened Almond Beverage,So Good,67,67,200 ml,5,45631,"{'type': 'bar', 'bar': {'value': 4.400000095367432, 'size': 'medium', 'title': {'text': '6,354', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,19504,Amul Kool Badam Flavoured Milk,Amul Kool,25,25,180 ml,12,45631,"{'type': 'bar', 'bar': {'value': 4.570000171661377, 'size': 'medium', 'title': {'text': '31,732', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,10491,Nestle Milkmaid Partly Skimmed Sweetened Condensed Milk,Nestle Milkmaid,140,149,380 g,4,45631,"{'type': 'bar', 'bar': {'value': 4.730000019073486, 'size': 'medium', 'title': {'text': '13,300', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,82337,Real Thai Unsweetened Coconut Milk,Real Thai,150,150,250 ml,4,45631,"{'type': 'bar', 'bar': {'value': 4.539999961853027, 'size': 'medium', 'title': {'text': '2,207', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,304062,So Good Unsweetened Almond Beverage,So Good,241,267,1 ltr,3,45631,"{'type': 'bar', 'bar': {'value': 4.380000114440918, 'size': 'medium', 'title': {'text': '4,047', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,41995,Amulspray Baby Milk Powder,Amulspray,263,263,500 g,3,45631,"{'type': 'bar', 'bar': {'value': 4.679999828338623, 'size': 'medium', 'title': {'text': '15,773', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,488348,Alt Co Oat Beverage,Alt Co,66,69,180 ml,2,45631,"{'type': 'bar', 'bar': {'value': 4.300000190734863, 'size': 'medium', 'title': {'text': '974', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,526845,Smoodh Chocolate Dairy Based Flavoured Milk (Pet Bottle),Smoodh,19,20,150 ml,19,45631,"{'type': 'bar', 'bar': {'value': 4.579999923706055, 'size': 'medium', 'title': {'text': '16,304', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,341598,Amul Kool Cafe Milk 'n' Coffee Flavoured Milk,Amul Kool Cafe,30,30,200 ml,11,45631,"{'type': 'bar', 'bar': {'value': 4.610000133514404, 'size': 'medium', 'title': {'text': '23,079', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,618979,Dancing Cow Plant Based Oat Beverage,Dancing Cow,235,266,1 ltr,8,45631,"{'type': 'bar', 'bar': {'value': 4.260000228881836, 'size': 'medium', 'title': {'text': '717', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
Blinkit,milk,532539,Alt Co Almond Beverage Unsweetened,Alt Co,227,266,1 ltr,2,45631,"{'type': 'bar', 'bar': {'value': 4.260000228881836, 'size': 'medium', 'title': {'text': '975', 'color': {'type': 'grey', 'tint': '050'}, 'font': {'size': '100', 'weight': 'medium'}, 'is_markdown': 1}, 'border_color': {'type': 'yellow', 'tint': '400'}, 'star_color': {'type': 'yellow', 'tint': '400'}, 'star_unfilled_color': {'type': 'white', 'tint': '900'}}}"
